Price,Close,High,Low,Open,Volume
Ticker,XLB,XLB,XLB,XLB,XLB
Date,,,,,
2018-07-11,51.16004943847656,51.64128746775129,50.932552912635025,51.49253922581156,11345600
2018-07-12,51.282535552978516,51.51878035643174,51.072539059537526,51.47503206048433,6619000
2018-07-13,51.25630187988281,51.44004677800133,51.11630195242263,51.195050242727994,3462000
2018-07-16,50.84504699707031,51.387533221450056,50.73129875496806,51.282536641391644,4491600
2018-07-17,51.51003646850586,51.68503301648712,50.696305357507306,50.88880189406485,7682000
2018-07-18,51.02879333496094,51.74627610555206,51.02879333496094,51.448783005225415,5887200
2018-07-19,51.21253967285156,51.27378795959407,50.85379827716776,51.21253967285156,6417500
2018-07-20,51.00254440307617,51.186289255747276,50.76629959059283,51.00254440307617,7316800
2018-07-23,50.72255325317383,51.00254637409728,50.67880161608225,50.9850463868169,4149500
2018-07-24,51.3787841796875,51.66752560526116,51.08129109219222,51.08129109219222,7116800
2018-07-25,51.781272888183594,51.85126949335689,51.04629017606851,51.40503153925677,4733600
2018-07-26,52.07876968383789,52.175017943372865,51.60628004854687,51.772524918246496,6197700
2018-07-27,51.88626480102539,52.28000610029927,51.755019926454565,52.236257808775655,5520700
2018-07-30,51.79001998901367,52.262509579453145,51.702523400168246,51.938768195387986,3472200
2018-07-31,52.26250457763672,52.39375278612457,51.88626327360417,51.903763257254596,5237600
2018-08-01,51.7287712097168,52.2625090747499,51.63252296024776,52.148760840124595,6060400
2018-08-02,51.38753128051758,51.413779590095494,50.80129678140429,51.30003469007054,9268100
2018-08-03,51.87751388549805,51.90376219154444,51.52752089523704,51.562520861819245,5329600
2018-08-06,51.86002731323242,52.061272166451324,51.308789379244146,51.47503759461122,4631100
2018-08-07,52.035011291503906,52.34125265990933,51.98251134072844,52.00875964722588,4757400
2018-08-08,51.81626892089844,52.22750687226157,51.79001727539558,52.07876201146189,6506200
2018-08-09,52.09626388549805,52.3850052942568,51.982515651608416,51.982515651608416,4244100
2018-08-10,51.34377670288086,51.84251455052166,51.282528429506065,51.74626631013825,6052300
2018-08-13,50.82754135131836,51.5975239741681,50.63504486116074,51.38752749965245,5436100
2018-08-14,51.25630187988281,51.52754339488196,51.00255701803421,51.03755699989926,4136000
2018-08-15,50.44255447387695,50.766295857795136,49.89131661861449,50.748795872477814,8495200
2018-08-16,50.74879837036133,51.02879147365808,50.63505012909044,50.63505012909044,6344700
2018-08-17,51.12503433227539,51.22128257720817,50.635044784336124,50.6525447686676,5259000
2018-08-20,51.4837760925293,51.580024338258305,51.22128300094701,51.22128300094701,4841500
2018-08-21,51.68502426147461,51.92126906056418,51.50127941922082,51.58877600949949,4958000
2018-08-22,51.42253112792969,51.74627251714099,51.361282847208116,51.65877592690473,5432700
2018-08-23,51.072532653808594,51.31752908839145,50.932536121667226,51.31752908839145,4442000
2018-08-24,51.737525939941406,51.80752254693738,51.29128463644044,51.34378459502322,4951600
2018-08-27,52.44624710083008,52.61249526933292,51.84251271136201,51.84251271136201,5609100
2018-08-28,52.24501419067383,52.761252120954914,52.07876932212884,52.52500730495023,3843100
2018-08-29,52.63875198364258,52.73500023598685,52.02626583599982,52.25376231204646,4278500
2018-08-30,52.01752471923828,52.638759276904025,51.860028164086195,52.39376611901476,5839300
2018-08-31,51.86002731323242,52.27126868246922,51.746279061315164,51.93877558951646,4280700
2018-09-04,51.501285552978516,51.746278705162034,51.23879241309884,51.72003039250848,5972200
2018-09-05,51.84252166748047,51.938769921076876,51.308783779559334,51.45753199087588,4640400
2018-09-06,51.9475212097168,52.25376597388971,51.588779822608856,51.90377291134387,6004100
2018-09-07,51.60627365112305,51.79877014632997,51.26503229164227,51.562525357970785,7299100
2018-09-10,51.66752624511719,51.947519350017735,51.641277934589354,51.74627451448178,4771500
2018-09-11,51.77252960205078,51.90377784743258,51.10754672531077,51.29129159862006,7749000
2018-09-12,51.798770904541016,52.035015696358265,51.562526112723766,51.763770934394564,6241300
2018-09-13,52.00001907348633,52.385008756536735,51.973770763077304,52.21001223232071,4102900
2018-09-14,51.98251724243164,52.21001037939201,51.85126901948233,52.11376546538094,4853700
2018-09-17,52.166259765625,52.47250449296761,51.96501494708713,51.96501494708713,3883400
2018-09-18,52.21875762939453,52.49875069943573,52.03501280301387,52.31500587305507,4078500
2018-09-19,52.787513732910156,53.00625860333438,52.2712757051977,52.2712757051977,7927200
2018-09-20,53.35623550415039,53.513732039832156,53.13749068656805,53.15499067250836,5597600
2018-09-21,53.24107360839844,53.67185319461584,53.1004104072718,53.575146615027165,8136200
2018-09-24,52.49379348754883,53.135569501679164,52.40588025140631,53.06523958350015,4600700
2018-09-25,52.22126388549805,52.66962678525897,52.159723945406846,52.616876827891424,5069000
2018-09-26,51.70256423950195,52.19488372719214,51.59706433184693,51.966307301289554,8511300
2018-09-27,51.25419998168945,51.66739958499653,51.1926600433682,51.66739958499653,6279900
2018-09-28,50.92890548706055,51.18385851899991,50.832198933312895,51.104735279904055,5380900
2018-10-01,51.438812255859375,51.649808694654375,51.21023585469987,51.21023585469987,4386500
2018-10-02,51.658607482910156,51.7904806988489,51.39486440470785,51.473987663536064,3673800
2018-10-03,51.28936767578125,51.904770425349746,51.24541105517104,51.834437149433256,3935000
2018-10-04,51.05199432373047,51.27178076506,50.64758807656611,51.27178076506,5578900
2018-10-05,50.67395782470703,51.14869730958721,50.46296473387676,50.95528418159721,5352000
2018-10-08,50.64759063720703,50.73550387671358,50.26076433455792,50.47176080451881,6290100
2018-10-09,48.96842956542969,49.98823872244686,48.88930629662337,49.98823872244686,11357400
2018-10-10,47.68486404418945,49.021162551367055,47.667280727822025,48.99478925365326,13201700
2018-10-11,47.13100814819336,48.07169391131919,46.96396829532745,47.64970431835691,18286800
2018-10-12,47.262874603271484,48.027733829461944,46.92000829330504,47.887070641945584,10650500
2018-10-15,47.104637145996094,47.55300006238115,47.087053826221634,47.254090333566,5128000
2018-10-16,47.86069107055664,47.966190970017756,47.087045263223494,47.2540817401915,5526500
2018-10-17,47.55299758911133,47.91344724155214,47.24529789325032,47.80795068206768,8535000
2018-10-18,47.016719818115234,47.79036910781913,46.761766715851685,47.33321286179752,7693900
2018-10-19,46.682640075683594,47.324419453179814,46.60351682049057,46.90242652303366,7105900
2018-10-22,46.31339645385742,47.05187898731863,46.15514995713896,46.884842509082375,13326500
2018-10-23,45.85624313354492,46.09361289339153,44.86280747648503,45.56612677396015,20201900
2018-10-24,44.40565872192383,45.917790769951914,44.30895548829399,45.689214307510134,20634000
2018-10-25,44.977088928222656,45.31995517690303,44.60784938462052,44.66938930855421,14255800
2018-10-26,44.71336364746094,45.179309928762954,44.03642086209866,44.352913941351225,23979300
2018-10-29,44.60786437988281,45.61009016790772,44.150708110074426,45.28480377071156,17412700
2018-10-30,45.627681732177734,45.715594996469754,44.44083254217914,44.484789174325144,23172600
2018-10-31,46.25186538696289,46.550775120979274,45.95295565294651,46.14636882015575,13167700
2018-11-01,47.55299758911133,47.66728748486334,46.76176500878994,47.09584135977843,13724300
2018-11-02,47.43870162963867,48.01014768168007,46.81450898143481,47.87827448392444,13439800
2018-11-05,47.57937240600586,47.6936623053981,47.22771607863205,47.473875843161245,7856800
2018-11-06,48.36181640625,48.40577638593822,47.58817039813614,47.72004027617402,6572600
2018-11-07,49.232173919677734,49.258547225387055,48.43215122763,48.7310609891465,6781100
2018-11-08,49.02116775512695,49.24095420253882,48.76621802492221,48.95962781814563,6447400
2018-11-09,48.33544158935547,48.73105791844467,47.97499190144653,48.73105791844467,9012400
2018-11-12,47.623329162597656,48.370605148524575,47.526625936026775,48.27389856827842,10059800
2018-11-13,47.482666015625,48.238731985326694,47.412336091339526,47.72882913481236,9506200
2018-11-14,47.42991256713867,48.106855178295696,47.183749483470336,47.76398888189762,9726300
2018-11-15,48.08049392700195,48.309073766935086,47.271681210132996,47.271681210132996,12033900
2018-11-16,48.564022064208984,48.68710195633927,47.79916269966986,47.93103592905261,8731000
2018-11-19,47.86948776245117,48.72225687734182,47.73761455571475,48.45851381754394,12284200
2018-11-20,46.99913024902344,47.50903638574705,46.78813715040837,47.41232981818396,11259300
2018-11-21,47.377174377441406,47.83433067068403,47.157387891479125,47.157387891479125,7013400
2018-11-23,46.86725616455078,47.183745783866385,46.72659299363011,46.93758607317385,3151100
2018-11-26,47.40353012084961,47.5705699346496,47.12220379133577,47.27166029033184,5357300
2018-11-27,46.823307037353516,47.30683994339053,46.50681734477744,47.043093502397504,5871100
2018-11-28,47.54420471191406,47.54420471191406,46.3133992960541,46.946385321773505,8531000
2018-11-29,47.8870735168457,48.15960657257803,47.42991729155342,47.53541385010545,7138200
2018-11-30,48.01015853881836,48.150821749852746,47.50025230277151,47.55300226453771,6058200
2018-12-03,48.85413360595703,49.35524646180056,48.335437431036084,49.00359014127758,8575100
2018-12-04,47.40353012084961,48.88928836187363,47.32441023474358,48.7925818072893,9045800
2018-12-06,46.76176452636719,46.76176452636719,45.61008565916156,46.61231134811231,13225300
2018-12-07,45.6364631652832,47.473878215550606,45.48700997325771,46.717812211085246,14026300
2018-12-10,45.75953674316406,45.95294988610101,44.933140925144784,45.65404018959617,11664900
2018-12-11,45.610084533691406,46.83209664545692,45.42546136896007,46.56835357913722,10071100
2018-12-12,46.005699157714844,46.54197525337872,45.979322504457656,46.28702553217537,7451000
2018-12-13,45.46942901611328,46.29582499104762,45.302389141432236,46.146371791254694,14628600
2018-12-14,45.11776351928711,45.57491975122038,44.950727019680315,45.11776351928711,7979400
2018-12-17,44.344120025634766,45.48701243107418,44.054003609219436,45.17930933973448,15251600
